 Device Time,GPS Speed(km/h),Engine Coolant Temperature(°F)
20-lip-2023 17:13:30.616,0.0,80.59999871
20-lip-2023 17:13:31.615,0.0,80.59999871
20-lip-2023 17:13:32.616,1.0800000143051136,82.39999866
20-lip-2023 17:13:33.616,0.0,82.39999866
20-lip-2023 17:13:34.616,0.0,82.39999866
20-lip-2023 17:13:35.617,0.0,82.39999866
20-lip-2023 17:13:36.618,0.0,82.39999866
20-lip-2023 17:13:37.619,0.0,82.39999866
20-lip-2023 17:13:38.620,0.0,82.39999866
20-lip-2023 17:13:39.621,0.0,82.39999866
20-lip-2023 17:13:40.621,0.0,82.39999866
20-lip-2023 17:13:41.622,0.0,82.39999866
20-lip-2023 17:13:42.622,0.0,82.39999866
20-lip-2023 17:13:43.624,0.0,84.19999862
20-lip-2023 17:13:44.623,0.0,84.19999862
20-lip-2023 17:13:45.626,0.0,84.19999862
20-lip-2023 17:13:46.626,0.0,84.19999862
20-lip-2023 17:13:47.626,0.0,84.19999862
20-lip-2023 17:13:48.627,0.0,84.19999862
20-lip-2023 17:13:49.627,0.0,84.19999862
20-lip-2023 17:13:50.628,0.0,84.19999862
20-lip-2023 17:13:51.630,0.0,85.99999857
20-lip-2023 17:13:52.630,0.0,85.99999857
20-lip-2023 17:13:53.632,0.0,85.99999857
20-lip-2023 17:13:54.632,0.0,85.99999857
20-lip-2023 17:13:55.634,0.0,85.99999857
20-lip-2023 17:13:56.635,0.0,85.99999857
20-lip-2023 17:13:57.635,0.0,85.99999857
20-lip-2023 17:13:58.637,0.0,85.99999857
20-lip-2023 17:13:59.635,0.0,85.99999857
20-lip-2023 17:14:00.636,0.0,85.99999857
20-lip-2023 17:14:01.636,0.0,85.99999857
20-lip-2023 17:14:02.637,0.0,87.79999852
20-lip-2023 17:14:03.637,0.0,87.79999852
20-lip-2023 17:14:04.637,0.0,87.79999852
20-lip-2023 17:14:05.637,0.0,87.79999852
20-lip-2023 17:14:06.637,0.0,87.79999852
20-lip-2023 17:14:07.637,0.0,87.79999852
20-lip-2023 17:14:08.638,0.0,87.79999852
20-lip-2023 17:14:09.637,0.0,87.79999852
20-lip-2023 17:14:10.637,0.0,89.59999847
20-lip-2023 17:14:11.637,0.0,89.59999847
20-lip-2023 17:14:12.638,0.0,89.59999847
20-lip-2023 17:14:13.639,0.0,89.59999847
20-lip-2023 17:14:14.639,0.0,89.59999847
20-lip-2023 17:14:15.641,0.0,89.59999847
20-lip-2023 17:14:16.640,0.0,89.59999847
20-lip-2023 17:14:17.641,0.0,89.59999847
20-lip-2023 17:14:18.642,0.0,89.59999847
20-lip-2023 17:14:19.643,0.0,89.59999847
20-lip-2023 17:14:20.643,0.0,91.39999843
20-lip-2023 17:14:21.643,0.0,91.39999843
20-lip-2023 17:14:22.643,0.0,91.39999843
20-lip-2023 17:14:23.645,0.0,91.39999843
20-lip-2023 17:14:24.645,0.0,91.39999843
20-lip-2023 17:14:25.646,0.0,91.39999843
20-lip-2023 17:14:26.647,0.0,91.39999843
20-lip-2023 17:14:27.649,0.0,91.39999843
20-lip-2023 17:14:28.650,0.0,91.39999843
20-lip-2023 17:14:29.650,0.0,93.19999838
20-lip-2023 17:14:30.650,0.0,93.19999838
20-lip-2023 17:14:31.650,0.0,93.19999838
20-lip-2023 17:14:32.650,0.0,93.19999838
20-lip-2023 17:14:33.650,0.0,93.19999838
20-lip-2023 17:14:34.650,0.0,93.19999838
